time	V(1ni)	V(vout)
0.000000000000000e+000	1.256637e-004	4.624802e-009
1.249692044785789e-006	1.583135e-002	6.231988e-007
2.499384089571579e-006	3.153386e-002	1.321745e-006
3.749076134357368e-006	4.723319e-002	2.100265e-006
4.998768179143157e-006	6.292935e-002	2.958757e-006
6.248460223928947e-006	7.862234e-002	3.897221e-006
7.498152268714735e-006	9.431215e-002	4.915658e-006
8.747844313500522e-006	1.099988e-001	6.014068e-006
1.206687672012554e-005	1.516169e-001	1.012300e-005
1.488582299663972e-005	1.869133e-001	1.585848e-005
1.738710125936885e-005	2.181833e-001	2.450603e-005
1.973179446134153e-005	2.474470e-001	3.838446e-005
2.200263057290773e-005	2.757378e-001	6.179736e-005
2.438815746545218e-005	3.053969e-001	1.044730e-004
2.662300917147719e-005	3.331205e-001	1.743155e-004
2.891278081773811e-005	3.614572e-001	2.980559e-004
3.112880740917252e-005	3.888101e-001	5.036764e-004
3.341200358097614e-005	4.169132e-001	8.628142e-004
3.570541964244027e-005	4.450558e-001	1.467263e-003
3.812822511442617e-005	4.746855e-001	2.520517e-003
4.069535020405926e-005	5.059601e-001	4.330986e-003
4.355765195743896e-005	5.406751e-001	7.541018e-003
4.685972410309014e-005	5.805059e-001	1.330899e-002
5.102879973000242e-005	6.304358e-001	2.418885e-002
5.591161223000241e-005	6.883610e-001	4.199220e-002
6.079442473000241e-005	7.456385e-001	6.519564e-002
6.567723723000242e-005	8.022141e-001	9.353331e-002
7.056004973000243e-005	8.580348e-001	1.263361e-001
7.544286223000243e-005	9.130479e-001	1.628871e-001
8.032567473000244e-005	9.672017e-001	2.024913e-001
8.520848723000244e-005	1.020445e+000	2.445129e-001
9.009129973000244e-005	1.072728e+000	2.883905e-001
9.497411223000245e-005	1.124002e+000	3.336371e-001
9.985692473000245e-005	1.174217e+000	3.798342e-001
1.047397372300025e-004	1.223328e+000	4.266238e-001
1.096225497300025e-004	1.271287e+000	4.737009e-001
1.193881747300025e-004	1.363571e+000	5.677159e-001
1.291537997300025e-004	1.450724e+000	6.602231e-001
1.438022372300025e-004	1.571118e+000	7.935780e-001
1.584506747300025e-004	1.678212e+000	9.179586e-001
1.730991122300025e-004	1.771100e+000	1.031403e+000
1.877475497300025e-004	1.848995e+000	1.132543e+000
2.023959872300025e-004	1.911238e+000	1.220420e+000
2.086738890157168e-004	1.933042e+000	1.253860e+000
2.149517908014311e-004	1.951779e+000	1.284695e+000
2.212296925871454e-004	1.967450e+000	1.312925e+000
2.275075943728597e-004	1.980055e+000	1.338552e+000
2.337854961585740e-004	1.989594e+000	1.361574e+000
2.400633979442883e-004	1.996067e+000	1.381991e+000
2.463412997300026e-004	1.999474e+000	1.399805e+000
2.561069247300026e-004	1.998523e+000	1.422594e+000
2.609897372300026e-004	1.995225e+000	1.431809e+000
2.658725497300026e-004	1.990050e+000	1.439644e+000
2.707553622300026e-004	1.983001e+000	1.446170e+000
2.756381747300026e-004	1.974086e+000	1.451476e+000
2.805209872300026e-004	1.963313e+000	1.455664e+000
2.854037997300026e-004	1.950693e+000	1.458849e+000
2.902866122300026e-004	1.936236e+000	1.461158e+000
2.951694247300026e-004	1.919957e+000	1.462720e+000
3.000522372300026e-004	1.901871e+000	1.463665e+000
3.049350497300026e-004	1.881995e+000	1.464120e+000
3.098178622300026e-004	1.860348e+000	1.464200e+000
3.147006747300026e-004	1.836950e+000	1.464005e+000
3.195834872300026e-004	1.811823e+000	1.463619e+000
3.244662997300026e-004	1.784991e+000	1.463103e+000
3.293491122300026e-004	1.756479e+000	1.462505e+000
3.342319247300026e-004	1.726314e+000	1.461857e+000
3.391147372300026e-004	1.694524e+000	1.461178e+000
3.439975497300026e-004	1.661139e+000	1.460482e+000
3.488803622300027e-004	1.626191e+000	1.459778e+000
3.537631747300027e-004	1.589712e+000	1.459068e+000
3.586459872300027e-004	1.551737e+000	1.458357e+000
3.635287997300027e-004	1.512302e+000	1.457644e+000
3.684116122300027e-004	1.471443e+000	1.456931e+000
3.781772372300027e-004	1.385611e+000	1.455506e+000
3.893379515157170e-004	1.279688e+000	1.453878e+000
4.004986658014313e-004	1.168907e+000	1.452252e+000
4.116593800871456e-004	1.053268e+000	1.450628e+000
4.228200943728599e-004	9.327704e-001	1.449005e+000
4.339808086585742e-004	8.074146e-001	1.447384e+000
4.451415229442885e-004	6.772005e-001	1.445766e+000
4.563022372300027e-004	5.421281e-001	1.444149e+000
4.618825943728599e-004	4.740970e-001	1.443341e+000
4.674629515157170e-004	4.056947e-001	1.442533e+000
