time	V(1ni)	V(vout)
0.000000000000000e+000	1.256637e-004	3.582603e-003
1.875000021911432e-009	1.492257e-004	3.582603e-003
1.207359064919509e-007	1.642877e-003	3.582604e-003
2.395968129619904e-007	3.136526e-003	3.582613e-003
3.584577194320299e-007	4.630171e-003	3.582630e-003
4.773186259020693e-007	6.123814e-003	3.582655e-003
5.961795323721088e-007	7.617455e-003	3.582688e-003
7.150404388421483e-007	9.111092e-003	3.582729e-003
8.339013453121874e-007	1.060473e-002	3.582778e-003
1.567797703783957e-006	1.982687e-002	3.583577e-003
3.035590420727495e-006	3.826968e-002	3.587288e-003
5.026744498844900e-006	6.328303e-002	3.595832e-003
7.403776016592356e-006	9.313057e-002	3.610237e-003
1.042552166725109e-005	1.310427e-001	3.632760e-003
1.273599626405890e-005	1.599998e-001	3.652437e-003
1.589679931632373e-005	1.995581e-001	3.682446e-003
1.915310530672550e-005	2.402292e-001	3.717384e-003
2.223973323071148e-005	2.786885e-001	3.755873e-003
2.363546457978887e-005	2.960458e-001	3.776960e-003
2.445140968257148e-005	3.061824e-001	3.793531e-003
2.491405573024286e-005	3.119263e-001	3.815803e-003
2.517149951478550e-005	3.151214e-001	3.863907e-003
2.533475203710749e-005	3.171471e-001	3.977673e-003
2.551163212088090e-005	3.193416e-001	4.297311e-003
2.568972997167019e-005	3.215507e-001	4.974464e-003
2.592788710001280e-005	3.245042e-001	6.495218e-003
2.611138381287893e-005	3.267793e-001	8.158705e-003
2.624231568878951e-005	3.284024e-001	9.674370e-003
2.639794724368776e-005	3.303314e-001	1.173325e-002
2.645696080188524e-005	3.310628e-001	1.257160e-002
2.653011588243330e-005	3.319694e-001	1.365630e-002
2.661061172577082e-005	3.329668e-001	1.487399e-002
2.679025456628861e-005	3.351926e-001	1.764419e-002
2.704105074256853e-005	3.382992e-001	2.156478e-002
2.885105725566356e-005	3.606988e-001	4.961953e-002
3.066106376875859e-005	3.830455e-001	7.724833e-002
3.247107028185361e-005	4.053392e-001	1.044512e-001
3.428107679494865e-005	4.275800e-001	1.312281e-001
3.609108330804368e-005	4.497677e-001	1.575790e-001
3.790108982113870e-005	4.719025e-001	1.835040e-001
3.971109633423373e-005	4.939843e-001	2.090030e-001
4.459390883423373e-005	5.532007e-001	2.768431e-001
5.435953383423372e-005	6.700162e-001	4.069251e-001
6.412515883423373e-005	7.843100e-001	5.312377e-001
7.877359633423374e-005	9.500843e-001	7.092962e-001
9.272448919137662e-005	1.102928e+000	8.725847e-001
1.066753820485195e-004	1.244826e+000	1.026089e+000
1.206262749056624e-004	1.375781e+000	1.169808e+000
1.345771677628052e-004	1.495791e+000	1.303743e+000
1.485280606199481e-004	1.604856e+000	1.427893e+000
1.624789534770910e-004	1.702978e+000	1.542259e+000
1.764298463342338e-004	1.790154e+000	1.646841e+000
1.854979266913767e-004	1.838297e+000	1.707073e+000
1.945660070485196e-004	1.880194e+000	1.761383e+000
2.036340874056624e-004	1.915845e+000	1.809770e+000
2.127021677628053e-004	1.945249e+000	1.852234e+000
2.217702481199482e-004	1.968408e+000	1.888775e+000
2.308383284770910e-004	1.985321e+000	1.919393e+000
2.399064088342339e-004	1.995987e+000	1.944088e+000
2.545548463342339e-004	1.999177e+000	1.970150e+000
2.594376588342339e-004	1.996477e+000	1.975167e+000
2.643204713342339e-004	1.991898e+000	1.978371e+000
2.692032838342339e-004	1.985444e+000	1.980020e+000
2.717391729911425e-004	1.981355e+000	1.980253e+000
2.737504455247802e-004	1.977754e+000	1.980106e+000
2.759207603914623e-004	1.973513e+000	1.979777e+000
2.781536540725906e-004	1.968768e+000	1.979358e+000
2.809176343668734e-004	1.962357e+000	1.978807e+000
2.838113249759803e-004	1.955011e+000	1.978223e+000
2.886941374759803e-004	1.941152e+000	1.977233e+000
2.935769499759803e-004	1.925466e+000	1.976239e+000
2.984597624759803e-004	1.907967e+000	1.975243e+000
3.033425749759803e-004	1.888673e+000	1.974245e+000
3.082253874759803e-004	1.867602e+000	1.973247e+000
3.131081999759803e-004	1.844772e+000	1.972253e+000
3.179910124759803e-004	1.820207e+000	1.971268e+000
3.186013640384803e-004	1.817015e+000	1.971147e+000
3.198220671634803e-004	1.810552e+000	1.970906e+000
3.222634734134803e-004	1.797306e+000	1.970425e+000
3.264233478480436e-004	1.773764e+000	1.969605e+000
3.308617248840725e-004	1.747310e+000	1.968730e+000
3.406273498840725e-004	1.684351e+000	1.966808e+000
3.538806980983582e-004	1.586710e+000	1.964202e+000
3.671340463126440e-004	1.480103e+000	1.961600e+000
3.803873945269297e-004	1.364531e+000	1.959001e+000
3.936407427412154e-004	1.239993e+000	1.956405e+000
4.068940909555011e-004	1.106489e+000	1.953813e+000
4.201474391697869e-004	9.640192e-001	1.951224e+000
4.334007873840726e-004	8.125840e-001	1.948639e+000
4.410737784555011e-004	7.230306e-001	1.947144e+000
4.487467695269297e-004	6.323318e-001	1.945650e+000
4.564197605983583e-004	5.404876e-001	1.944157e+000
4.640927516697869e-004	4.474980e-001	1.942666e+000
4.717657427412155e-004	3.533629e-001	1.941175e+000
4.794387338126441e-004	2.580825e-001	1.939685e+000
4.871117248840726e-004	1.616566e-001	1.938197e+000
4.912969927412154e-004	1.090944e-001	1.937386e+000
4.954822605983583e-004	5.654748e-002	1.936575e+000
4.996675284555011e-004	4.015952e-003	1.935764e+000
5.038527963126440e-004	-4.850020e-002	1.934954e+000
5.080380641697868e-004	-1.010010e-001	1.934144e+000
5.122233320269297e-004	-1.534864e-001	1.933334e+000
5.164085998840725e-004	-2.059565e-001	1.932525e+000
5.247791355983582e-004	-3.109522e-001	1.930908e+000
5.331496713126439e-004	-4.143857e-001	1.929291e+000
5.415202070269297e-004	-5.162569e-001	1.927677e+000
5.498907427412155e-004	-6.165658e-001	1.926063e+000
5.582612784555012e-004	-7.153126e-001	1.924451e+000
5.666318141697869e-004	-8.124970e-001	1.922840e+000
5.750023498840726e-004	-9.081193e-001	1.921231e+000
5.889532427412155e-004	-1.063105e+000	1.918551e+000
